NOC,Year,Ath_Cnt
CIV,2016,15
NAM,2008,11
NAM,2012,9
PER,1948,49
CHI,1956,7
LBA,1992,5
IND,2006,5
COL,1948,11
MEX,1956,36
EST,2012,36
TTO,2012,38
TTO,2016,43
CHN,2004,518
CHN,2016,499
ARG,1996,221
ARG,2004,179
SUI,1936,39
MTN,1992,6
MTN,1996,4
LTU,2012,72
AUT,1964,82
AUT,1968,59
JPN,1956,25
SWE,1988,126
FRA,1964,55
THA,1956,40
FRA,2002,176
RSA,1996,111
GBR,2010,78
ITA,1948,81
GBR,1932,170
NZL,2000,177
SGP,2016,32
MAR,2016,52
MAR,1984,7
PER,2000,22
BER,2004,10
BER,2008,6
ANZ,1908,48
KAZ,2004,130
UKR,2012,304
JPN,1980,80
JPN,1928,56
NGR,1952,15
NGR,1956,14
UGA,2004,11
SWE,2016,186
SCG,2000,125
SYR,1984,9
HUN,2000,238
HUN,2004,258
TUR,1988,51
CIV,2000,18
SLE,1980,32
JPN,1960,73
TUR,1924,23
TUR,1956,12
TUR,1960,58
TUR,1964,25
TUR,1972,50
VIN,2012,3
TUR,2012,119
TUR,1976,50
LTU,1928,13
SAM,2004,3
SAM,2008,7
AUS,1972,266
USA,1960,105
USA,1964,492
SWE,1968,186
CAN,1964,95
TUR,1984,62
UKR,2016,272
RUS,1998,197
CYP,2000,24
CYP,2004,21
CYP,2008,18
CYP,2012,13
IRI,2004,37
KAZ,2014,115
BLR,1996,259
KAZ,2000,158
GEO,2002,6
KGZ,2000,71
BAN,2000,6
BAN,2004,4
PNG,1996,17
JPN,1968,95
NGR,2004,79
UGA,1980,16
KEN,2008,47
MAR,1972,39
SUD,1984,9
TAN,1988,10
FIN,1984,107
IND,1964,49
TOG,1996,7
NGR,1960,15
GRE,1896,148
TUN,2016,65
AFG,1980,11
DEN,1996,145
LIB,1980,4
SYR,2004,6
KSA,1976,19
UAE,1992,36
YEM,2004,3
KUW,1996,27
IOA,2016,9
KSA,1996,34
KSA,2000,23
KSA,2004,16
OMA,1984,22
OMA,2016,4
KSA,1988,13
BRN,1992,15
KSA,2008,18
KSA,2012,23
OMA,1992,5
SYR,1992,9
KUW,2012,12
LIB,2004,5
QAT,2012,14
QAT,2000,19
QAT,2016,42
LIB,2000,6
KUW,2004,11
KUW,2008,8
KSA,1972,14
KSA,1992,17
SYR,1988,13
UAE,2004,5
UAE,2016,12
OMA,1988,13
BRN,2004,10
BRN,2008,15
SYR,2008,7
OMA,2008,4
BRN,1996,5
OMA,2000,8
OMA,2004,2
PLE,2000,2
BRN,1988,16
YEM,1992,8
BRN,2012,14
YEM,2008,8
YEM,2012,4
YAR,1984,3
OMA,2012,3
JOR,2008,7
JOR,1992,5
OMA,1996,5
YEM,1996,4
UAE,2008,9
QAT,1988,13
IRQ,1968,4
YEM,2000,2
UAE,2000,5
SUD,2012,6
JOR,1996,5
TUN,1960,56
FIN,2008,70
FIN,2012,69
BEL,1976,3
BEL,1980,149
TUR,1998,1
TUR,2002,5
MAS,1964,81
ITA,1912,96
FIJ,2012,9
BAN,1988,11
PAK,1956,79
BAN,1996,4
BEN,2004,4
FRA,1920,452
FIN,1964,74
MEX,1932,100
CRO,1992,12
NIG,2004,4
BEN,1988,10
FIN,1960,74
VAN,2012,5
IOA,1992,76
COL,1988,57
ITA,1968,256
